author_id,name,username,created_at,text,description,verified,followers_count,following_count,tweet_count,listed_count,dia,mes,ano,hora,weekofyear,weekday,day_of_year,sentiment,negativos,neutros,positivos,emotion,joy,sadness,surprise,anger,disgust,fear,hate_speech,hateful,targeted,aggressive
709630884,Cooperativa Sagrados Corazones Ltda.,coopssccPy,2022-06-17 21:37:58+00:00,"Hoy viernes 17/06 comprando con tu tarjeta de crédito CABAL en todas las sucursales de Casa Parana tenés 20% de descuento en TODOS LOS ARTÍCULOS.

💳Si todavía no tenés tu tarjeta de crédito Cabal solicítala haciendo click en el link👉 https://t.co/FFhQjRhTSw https://t.co/u6XWUfYZpV","Visión: Ser una cooperativa innovadora, comprometida con la educación financiera de alto impacto en la comunidad.",263,137,2762,1,False,17,6,2022,21,24,4,168,NEU,0.0099185900762677,0.8907554745674133,0.099325880408287,others,0.0327907390892505,0.0065030939877033,0.0061031254008412,0.0032369035761803,0.002012230688706,0.0033275443129241,[],0.0146823097020387,0.0122201731428503,0.0141840083524584
1253170628418514946,Juampimolina,Juampimolina10,2022-06-17 20:44:58+00:00,@hiperfalcon PREGUNTALE AL CREDICOOP MÁS MEJOR,"Liberal de pura cepa. Se agradece cada seguidor con BTC.

Miembro de la KGB de Tony (@StarkDSC) .

#Milei 
#Bitcoin",423,1127,23302,3,False,17,6,2022,20,24,4,168,NEU,0.0102765345945954,0.9853945970535278,0.0043288711458444,others,0.0107288947328925,0.0151493540033698,0.0134406052529811,0.0211658477783203,0.0064671682193875,0.0077456845901906,[],0.0454476438462734,0.0206702221184968,0.0324071608483791
232660636,PATRIA y VIDA #FICHALIMPIA,ccariungs,2022-06-17 19:29:17+00:00,"No olvidar que el único partido aliado a Cristina es el PARTIDO COMUNISTA Argentino (STALINISTA) Argentino , CREDICOOP",El Fantasma del general Pedro Eugenio Aramburu,1806,5002,52083,26,False,17,6,2022,19,24,4,168,NEU,0.3308408856391907,0.6586594581604004,0.0104996422305703,others,0.0065494035370647,0.0070137707516551,0.0059536169283092,0.0150832058861851,0.0080549241974949,0.0035081196110695,[],0.0640403032302856,0.0146935572847723,0.0518961437046527
821195119252697089,S.O.S CABALLOS,soscaballostafe,2022-06-17 16:21:53+00:00,"Si querés colaborar con los gastos de su recuperación y mantenimiento podés hacerlo mediante nuestra cuenta corriente:

Cuenta corriente Banco Credicoop
Cta nº 2061
Filial 261
CBU 1910261855026100020614
Cuit: 30 711 638 85-3 🐎

Y también por Mercado Pago⬇️","ASOCIACIÓN CIVIL dedicada a la defensa, rehabilitación y asistencia del equino maltratado y a la erradicación de la tracción a sangre. Pers. Jur. Nº 267",2328,89,3566,5,False,17,6,2022,16,24,4,168,NEU,0.0096327131614089,0.9789409637451172,0.0114262914285063,others,0.0241731591522693,0.0079751843586564,0.0039523290470242,0.0031170048750936,0.0015125495847314,0.0022379716392606,[],0.012490464374423,0.0122756110504269,0.0139139490202069
1208437245352579072,fran,franemanuelli,2022-06-17 14:39:23+00:00,vino un loco q decia que recien salió de un coma y me preguntó donde queda el banco credicoop ??????,⚪🔴⚪,45,76,1552,0,False,17,6,2022,14,24,4,168,NEG,0.8373239636421204,0.1604165136814117,0.0022595729678869,others,0.0091621307656168,0.0248691048473119,0.076751671731472,0.0085503086447715,0.0095068188384175,0.0243179835379123,[],0.2622342705726623,0.0917936041951179,0.1330347210168838
2823785657,Diario La Mañana,lamananaok,2022-06-17 14:17:54+00:00,"#Credicoop | Diez mil millones de pesos para emprendedores y monotributistas

https://t.co/oi5jiWB3fD",,2399,384,40838,21,False,17,6,2022,14,24,4,168,NEU,0.0341388992965221,0.8680204749107361,0.097840629518032,others,0.0317298583686351,0.0084319757297635,0.0224937610328197,0.0123220151290297,0.0047586723230779,0.0056898035109043,[],0.0114473765715956,0.0104580065235495,0.0134445633739233
823575739568164865,Patrimac,patrimac65,2022-06-17 13:19:27+00:00,@mirandadress Y también para los que tienen Banco Credicoop.,"Me gusta viajar, los programas y sitios de turismo y cocina, pincharrata por herencia de mi padre.",302,852,23194,0,False,17,6,2022,13,24,4,168,NEU,0.0063531342893838,0.9893585443496704,0.004288294352591,others,0.0101639702916145,0.0227916128933429,0.0093135340139269,0.0112370112910866,0.0081065353006124,0.0095107592642307,[],0.141843169927597,0.0080865090712904,0.065028540790081
835277140711047168,Ahorro Twit,ahorrotwit,2022-06-17 13:01:10+00:00,Hoy con tu tarjeta #cabal tenés un 30% de descuento en @WalmartArg y en #changomas con tope de $1500 x operacion y pagando con tarjeta de crédito del @HSBC_AR tenés 20% de descuento en @Coto_Ar sin tope,Acá vas a encontrar las novedades de los descuentos de todos los días y recomendaciones para ahorrar al máximo! ahorrotwit@gmail.com,2388,59,7603,5,False,17,6,2022,13,24,4,168,NEU,0.0052637476474046,0.6944487690925598,0.300287514925003,others,0.1102755814790725,0.0162965282797813,0.0155254183337092,0.0055428836494684,0.0053575220517814,0.0080873183906078,[],0.0304574761539697,0.0190888401120901,0.0302320662885904
3335522573,Totó ,totosanacevedo,2022-06-17 01:02:49+00:00,"#Desafio2022
Carlos Heller, CEO del Banco Credicoop, que ganó miles de millones a costilla del hambre de los argentinos, ahora es nac and pop.
Terrible usurero HDRP.",,56,12,10507,0,False,17,6,2022,1,24,4,168,NEG,0.9955015778541564,0.0035614853259176,0.0009369425824843,anger,0.0064887753687798,0.0109580243006348,0.0063379104249179,0.7059067487716675,0.2147680670022964,0.0071295648813247,[],0.0367506146430969,0.02234698086977,0.0500710345804691
337156846,Diego Badaracco,debadaracco,2022-06-16 21:27:02+00:00,@lapescadeldia @Sebapedrozoo @mdkro No había dos en reconquista? El primero entre Lavalle y corrientes? Cerca del credicoop,iOS Developer,156,334,215,0,False,16,6,2022,21,24,3,167,NEU,0.0521654672920703,0.941586136817932,0.0062483865767717,others,0.0054996348917484,0.0289304088801145,0.158616691827774,0.0117173632606863,0.0115989288315176,0.028072889894247,[],0.0329407602548599,0.0094707161188125,0.0169000215828418
